sentence,ground_truth_control,baseline_control,rag_control,ground_truth_applicable,baseline_applicable,rag_applicable,ground_truth_status,baseline_status,rag_status,baseline_time,rag_time,baseline_raw,rag_raw,retrieved_controls,retrieval_scores
Tim keamanan aktif berpartisipasi dalam forum ISACA dan komunitas keamanan siber Indonesia.,A.5.6,A.6.2,A.5.6,Yes,Yes,Yes,Implemented,Implemented,Implemented,42.28,87.32,"{
  ""control_id"": ""A.6.2"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Tim keamanan aktif berpartisipasi dalam forum dan komunitas tersebut menunjukkan bahwa mereka telah mematuhi kontrol A.6.2 (Partisipasi dalam organisasi penilaian keamanan seperti ISACA atau AICPA)."",
  ""recommendation"": ""Jika belum, rekomendasikan untuk mengaktifkan partisipasi tim keamanan secara lebih aktif dalam forum dan komunitas tersebut.""
}","{""control_id"": ""A.5.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Tim keamanan aktif berpartisipasi dalam forum ISACA dan komunitas keamanan siber Indonesia menunjukkan bahwa organisasi telah mengembangkan keterhubungan yang sesuai dengan kelompok kepentingan khusus."", ""recommendation"": ""Tidak ada perbaikan diperlukan.""}",A.5.6;A.6.3;A.5.8,0.6288;0.4945;0.4779
Tim keamanan aktif berpartisipasi dalam forum ISACA dan komunitas keamanan siber Indonesia.,A.5.6,A.6.1,A.5.6,Yes,Yes,Yes,Implemented,Implemented,Implemented,51.86,90.31,"{""control_id"": ""A.6.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Tim keamanan berpartisipasi aktif dalam organisasi yang mencakup forum ISACA dan komunitas keamanan siber Indonesia menunjukkan bahwa perusahaan telah melakukan keterlibatan mereka dalam praktik industri yang relevan."", ""recommendation"": ""Kontrol ini sudah diterapkan dengan baik. Tetapi, dapat diadakan pelatihan untuk memastikan semua anggota tim penuh mengerti pentingnya berpartisipasi dalam forum dan komunitas tersebut.""}","{""control_id"": ""A.5.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Tim keamanan berpartisipasi aktif dalam forum ISACA dan komunitas keamanan siber Indonesia yang memastikan kontak dengan kelompok kepentingan khusus."", ""recommendation"": ""Jika tidak ada perbaikan diperlukan, lanjutkan dengan upaya ini.""}",A.5.6;A.6.3;A.5.8,0.6288;0.4945;0.4779
Organisasi tidak mengikuti forum atau komunitas keamanan informasi apapun.,A.5.6,A.5.12,A.5.6,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,70.55,63.13,"{
  ""control_id"": ""A.5.12"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Organisasi tidak memiliki pendekatan formal terhadap mengikuti forum atau komunitas keamanan informasi, yang merupakan unsur penting dalam pengelolaan dan pengetahuan tentang keamanan informasi."",
  ""recommendation"": ""Implementasikan proses formal untuk mematuhi forum atau komunitas keamanan informasi secara teratur.""
}","{""control_id"": ""A.5.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi belum memelihara kontak dengan kelompok kepentingan khusus, termasuk forum atau komunitas keamanan informasi."", ""recommendation"": ""Implementasikan dan revitalisasi hubungan organisasi dengan kelompok keamanan informasi untuk memastikan up-to-date dan relevansi dalam praktiknya.""}",A.5.6;A.5.35;A.8.20,0.4385;0.4031;0.3571
Organisasi tidak mengikuti forum atau komunitas keamanan informasi apapun.,A.5.6,A.5.3,A.5.6,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,59.75,61.82,"{
  ""control_id"": ""A.5.3"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Organisasi tidak memiliki kebijakan formal untuk berpartisipasi dalam forum atau komunitas keamanan informasi."",
  ""recommendation"": ""Implementasikan kebijakan yang menjelaskan partisipasi organisasi dalam forum atau komunitas keamanan informasi.""
}","{""control_id"": ""A.5.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki kontak dengan kelompok kepentingan khusus atau forum keamanan informasi, yang sesuai dengan A.5.6."", ""recommendation"": ""Menerapkan pola praktik terbaik dalam mengelola hubungan dan komunikasi dengan kelompok penting keamanan informasi.""}",A.5.6;A.5.35;A.8.20,0.4385;0.4031;0.3571
Organisasi secara rutin mengumpulkan dan menganalisis feed ancaman siber dari berbagai sumber.,A.5.7,A.8.2,A.5.7,Yes,Yes,Yes,Implemented,Implemented,Implemented,33.45,53.68,"{
  ""control_id"": ""A.8.2"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kumpulan dan analisis feed ancaman siber dari berbagai sumber adalah integral bagian penting dalam pengelolaan risiko keamanan informasi."",
  ""recommendation"": """"
}","{""control_id"": ""A.5.7"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Organisasi telah secara rutin mengumpulkan dan menganalisis feed ancaman cyber dari berbagai sumber, sesuai dengan kontrol A.5.7."", ""recommendation"": """"}",A.5.7;A.8.16;A.8.8,0.6857;0.5851;0.5379
Organisasi secara rutin mengumpulkan dan menganalisis feed ancaman siber dari berbagai sumber.,A.5.7,A.8.3,A.5.7,Yes,Yes,Yes,Implemented,Implemented,Implemented,35.19,49.68,"{
  ""control_id"": ""A.8.3"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kumpulan dan analisis feed ancaman siber sesuai dengan kebutuhan ISO 27001 untuk mengidentifikasi risiko informasi."",
  ""recommendation"": ""Jika belum dilakukan, organisasi disarankan untuk secara rutin mengumpulkan dan menganalisis feed ancaman dari berbagai sumber.""
}","{""control_id"": ""A.5.7"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol A.5.7 diterapkan karena organisasi secara rutin mengumpulkan dan menganalisis feed ancaman siber dari berbagai sumber."", ""recommendation"": ""Tidak ada perbaikan yang direkomendasikan untuk kontrol ini.""}",A.5.7;A.8.16;A.8.8,0.6857;0.5851;0.5379
Tidak ada proses formal untuk mengumpulkan informasi tentang ancaman keamanan yang relevan.,A.5.7,A.5.1,A.5.7,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,38.01,59.09,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Kontrol A.5.1 berfokus pada kebijakan yang mencakup strategi untuk mengidentifikasi dan mengelola ancaman keamanan, termasuk pengumpulan informasi tentang ancaman tersebut. Namun, dalam kasus ini tidak ada proses formal."",
  ""recommendation"": ""Implementasikan proses formal untuk mengumpulkan informasi tentang ancaman keamanan.""
}","{""control_id"": ""A.5.7"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki proses formal untuk mengumpulkan dan menganalisis informasi tentang ancaman keamanan yang relevan."", ""recommendation"": ""Implementasikan proses formal untuk mengumpulkan dan menganalisis informasi tentang ancaman keamanan informasi.""}",A.5.7;A.6.6;A.5.1,0.3827;0.3778;0.3771
Tidak ada proses formal untuk mengumpulkan informasi tentang ancaman keamanan yang relevan.,A.5.7,A.5.2,A.5.7,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,40.16,68.94,"{
  ""control_id"": ""A.5.2"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Organisasi belum memiliki proses formal untuk mengumpulkan informasi tentang ancaman keamanan yang relevan, menurut temuan audit."",
  ""recommendation"": ""Implementasikan proses formal untuk mengumpulkan informasi tentang ancaman keamanan yang relevan sesuai dengan Kebijakan Keamanan Informasi.""
}","{""control_id"": ""A.5.7"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki proses formal untuk mengumpulkan dan menganalisis informasi tentang ancaman keamanan, yang merupakan syarat penting untuk menghasilkan intelijen ancaman."", ""recommendation"": ""Implementasikan proses formal untuk mengumpulkan dan menganalisis informasi tentang ancaman keamanan dengan tujuan menghasilkan intelijen ancaman yang dapat ditindaklanjuti.""}",A.5.7;A.6.6;A.5.1,0.3827;0.3778;0.3771
Setiap proyek TI baru wajib melalui penilaian risiko keamanan informasi di fase perencanaan.,A.5.8,A.5.1,A.5.8,Yes,Yes,Yes,Implemented,Implemented,Implemented,61.73,47.84,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kebijakan A.5.1 ISO 27001 menyatakan bahwa setiap proyek TI baru harus melalui penilaian risiko keamanan informasi di fase perencanaan."",
  ""recommendation"": ""Jika tidak ada, maka Kebijakan A.5.1 harus diterapkan secara langsung untuk memastikan adanya proses penilaian risiko keamanan pada setiap proyek TI baru.""
}","{
  ""control_id"": ""A.5.8"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Audit menemukan bahwa risiko keamanan informasi telah dievaluasi dan diintegrasikan dalam proses manajemen proyek."",
  ""recommendation"": ""Dukungan untuk pengimplementasian sistem penilaian risiko keamanan yang formal dan terstruktur.""
}",A.5.8;A.5.7;A.8.8,0.7529;0.7050;0.6944
Proyek pengembangan aplikasi dilakukan tanpa mempertimbangkan aspek keamanan informasi.,A.5.8,A.5.2,A.5.8,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,56.20,41.67,"{""control_id"": ""A.5.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Kondisi ini menunjukkan bahwa organisasi belum memiliki kebijakan yang jelas untuk pengembangan aplikasi dan tidak mempertimbangkan aspek keamanan informasi."", ""recommendation"": ""Perkenalkan dan implementasikan kebijakan standar pengembangan aplikasi yang mencakup aspek aset, risiko, dan kontrol keamanan.""}","{""control_id"": ""A.5.8"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Kalimat audit menunjukkan bahwa proses pengembangan aplikasi tidak mempertimbangkan aspek keamanan informasi, yang sesuai dengan A.5.8 keamanan informasi dalam manajemen proyek."", ""recommendation"": ""Perlu dilakukan evaluasi kembali dan integrasi aspek keamanan informasi ke proses pengembangan aplikasi.""}",A.5.8;A.8.26;A.8.28,0.5712;0.5645;0.5117
"Register aset informasi lengkap telah dibuat dan mencakup semua server, aplikasi, dan database kritis.",A.5.9,A.7.1,A.5.37,Yes,Yes,Yes,Implemented,Implemented,Implemented,21.52,43.29,"{
  ""control_id"": ""A.7.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kebijakan keamanan fisik yang telah ditetapkan meliputi proses registrasi aset informasi, termasuk server, aplikasi, dan database kritis."",
  ""recommendation"": ""Konfirmasikan secara berkala dan perbarui register untuk memastikan bahwa semua aset penting terdaftar.""
}","{
  ""control_id"": ""A.5.37"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kontrol ini mengacu pada kebutuhan untuk memiliki prosedur operasional yang didokumentasikan dan tersedia bagi semua pengguna yang membutuhkannya."",
  ""recommendation"": ""Pastikan prosedur operasional untuk pemrosesan informasi terus dikelola dan disediakan kepada staf teknis.""
}",A.5.37;A.5.9;A.5.13,0.5201;0.4811;0.4348
"Register aset informasi lengkap telah dibuat dan mencakup semua server, aplikasi, dan database kritis.",A.5.9,A.5.1,A.5.37,Yes,Yes,Yes,Implemented,Implemented,Implemented,29.22,42.35,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kebijakan A.5 mengatur pembuatan register aset informasi yang mencakup semua server, aplikasi, dan database kritis."",
  ""recommendation"": ""Tidak ada perbaikan diperlukan karena kebijakan sudah terpenuhi.""
}","{
  ""control_id"": ""A.5.37"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Registrasi aset informasi telah dibuat untuk mencakup semua server, aplikasi, dan database kritis."",
  ""recommendation"": """"
}",A.5.37;A.5.9;A.5.13,0.5201;0.4811;0.4348
Organisasi belum memiliki inventarisasi lengkap atas aset informasi yang dimiliki.,A.5.9,A.5.1,A.5.9,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,32.61,74.97,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki inventarisasi lengkap atas aset informasi, sehingga kontrol ini belum dapat diimplementasikan."", ""recommendation"": ""Perlu dilakukan evaluasi dan pembuatan inventaris aset informasi untuk memenuhi kebijakan ini.""}","{""control_id"": ""A.5.9"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki inventarisasi lengkap atas aset informasinya."", ""recommendation"": ""Implementasi program inventarisasi untuk mengidentifikasi, didokumentasikan, dan dipelihara secara rutin.""}",A.5.9;A.5.11;A.5.19,0.4611;0.4286;0.3872
Organisasi belum memiliki inventarisasi lengkap atas aset informasi yang dimiliki.,A.5.9,A.5.1,A.5.9,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,56.90,57.89,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Kontrol A.5.1 berfokus pada kebijakan mengenai aset informasi dan tidak merujuk secara eksplisit kepada validitas inventarisasi aset."", ""recommendation"": ""Organisasi seharusnya mengembangkan atau memperbarui kebijakannya terkait proses inventarisasi aset informasi yang lengkap.""}","{""control_id"": ""A.5.9"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki inventarisasi lengkap atas aset informasi yang dimilikinya."", ""recommendation"": ""Implementasikan kebijakan dan prosedur untuk mengidentifikasi, memelihara, dan mendokumentasikan semua aset informasi yang dimiliki.""}",A.5.9;A.5.11;A.5.19,0.4611;0.4286;0.3872
Kebijakan penggunaan email dan internet yang dapat diterima telah ditandatangani oleh semua karyawan.,A.5.10,A.5.1,A.5.1,Yes,Yes,Yes,Implemented,Implemented,Implemented,38.75,73.29,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan penggunaan email dan internet sangat penting untuk memastikan bahwa organisasi tersebut menggunakan saluran komunikasi ini secara aman."", ""recommendation"": ""Jika belum dilakukan, segera melakukan penandatanganan kebijakan oleh semua karyawan.""}","{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan penggunaan email dan internet sudah disetujui oleh manajemen dan telah dipublikasikan kepada seluruh karyawan."", ""recommendation"": """"}",A.5.10;A.5.1;A.5.4,0.3587;0.3530;0.3502
Kebijakan penggunaan email dan internet yang dapat diterima telah ditandatangani oleh semua karyawan.,A.5.10,A.5.1,A.5.1,Yes,Yes,Yes,Implemented,Implemented,Implemented,57.58,64.58,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kebijakan penggunaan email dan internet yang ditandatangani oleh semua karyawan mencakup semua aspek keamanan informasi, termasuk penggunaan email dan internet."",
  ""recommendation"": ""Jika peraturan baru diterbitkan, maka harus segera dikaji dan jika diperlukan, terjadi peningkatan dalam penerapan atau penyempurnaan.""
}","{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kebijakan penggunaan email dan internet telah ditandatangani oleh seluruh karyawan, yang menunjukkan bahwa kebijakan ini telah dipublikasikan dan dikomunikasikan kepada seluruh karyawan."",
  ""recommendation"": """"
}",A.5.10;A.5.1;A.5.4,0.3587;0.3530;0.3502
Proses pengembalian laptop dan kartu akses dilakukan secara konsisten saat karyawan keluar.,A.5.11,A.7.1,A.5.37,Yes,Yes,Yes,Implemented,Implemented,Implemented,46.24,84.88,"{
  ""control_id"": ""A.7.1"", 
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Proses pengembalian laptop dan kartu akses sesuai dengan kontrol A.7.1 (Fisik) yang membahas tentang praktik manajemen barang-barang penting."",
  ""recommendation"": ""Tidak ada perbaikan diperlukan karena proses sudah dilakukan secara konsisten.""
}","{""control_id"": ""A.5.37"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Karyawan menggunakan aset organisasi (laptop dan kartu akses) yang harus dikelola secara konsisten sesuai prosedur operasional yang didokumentasikan."", ""recommendation"": ""Jika belum, implementasikan dan lakukan audit ulang untuk memastikan bahwa prosedur operasional yang didokumenasi telah dipahami dan diikuti oleh semua pengguna. Juga pastikan untuk melakukan evaluasi dan perbaikan berdasarkan feedback dari pengevaluasan.""}",A.8.13;A.5.11;A.5.37,0.4307;0.3911;0.3523
